image_path,labels
data/images\broken_light\Image_1.jpg,broken_light
data/images\broken_light\Image_10.jpg,broken_light
data/images\broken_light\Image_100.jpg,broken_light
data/images\broken_light\Image_101.jpg,broken_light
data/images\broken_light\Image_102.jpg,broken_light
data/images\broken_light\Image_103.jpg,broken_light
data/images\broken_light\Image_104.jpg,broken_light
data/images\broken_light\Image_105.jpg,broken_light
data/images\broken_light\Image_106.jpg,broken_light
data/images\broken_light\Image_107.jpg,broken_light
data/images\broken_light\Image_108.jpg,broken_light
data/images\broken_light\Image_109.jpg,broken_light
data/images\broken_light\Image_11.jpg,broken_light
data/images\broken_light\Image_110.jpg,broken_light
data/images\broken_light\Image_111.jpg,broken_light
data/images\broken_light\Image_112.jpg,broken_light
data/images\broken_light\Image_113.jpg,broken_light
data/images\broken_light\Image_114.jpg,broken_light
data/images\broken_light\Image_115.jpg,broken_light
data/images\broken_light\Image_116.jpg,broken_light
data/images\broken_light\Image_117.jpg,broken_light
data/images\broken_light\Image_119.jpg,broken_light
data/images\broken_light\Image_12.jpg,broken_light
data/images\broken_light\Image_120.jpg,broken_light
data/images\broken_light\Image_121.jpg,broken_light
data/images\broken_light\Image_122.jpg,broken_light
data/images\broken_light\Image_123.jpg,broken_light
data/images\broken_light\Image_124.jpg,broken_light
data/images\broken_light\Image_125.jpg,broken_light
data/images\broken_light\Image_126.jpg,broken_light
data/images\broken_light\Image_127.jpg,broken_light
data/images\broken_light\Image_128.jpg,broken_light
data/images\broken_light\Image_129.jpg,broken_light
data/images\broken_light\Image_13.jpg,broken_light
data/images\broken_light\Image_130.jpg,broken_light
data/images\broken_light\Image_131.jpg,broken_light
data/images\broken_light\Image_132.png,broken_light
data/images\broken_light\Image_133.jpg,broken_light
data/images\broken_light\Image_134.jpg,broken_light
data/images\broken_light\Image_135.jpg,broken_light
data/images\broken_light\Image_136.jpg,broken_light
data/images\broken_light\Image_137.jpg,broken_light
data/images\broken_light\Image_138.jpg,broken_light
data/images\broken_light\Image_139.jpg,broken_light
data/images\broken_light\Image_14.jpg,broken_light
data/images\broken_light\Image_140.jpg,broken_light
data/images\broken_light\Image_142.jpg,broken_light
data/images\broken_light\Image_143.jpg,broken_light
data/images\broken_light\Image_144.jpg,broken_light
data/images\broken_light\Image_145.jpg,broken_light
data/images\broken_light\Image_146.jpg,broken_light
data/images\broken_light\Image_147.jpg,broken_light
data/images\broken_light\Image_148.jpeg,broken_light
data/images\broken_light\Image_149.jpg,broken_light
data/images\broken_light\Image_15.jpg,broken_light
data/images\broken_light\Image_150.jpg,broken_light
data/images\broken_light\Image_151.jpg,broken_light
data/images\broken_light\Image_152.jpg,broken_light
data/images\broken_light\Image_153.jpg,broken_light
data/images\broken_light\Image_154.jpg,broken_light
data/images\broken_light\Image_16.jpg,broken_light
data/images\broken_light\Image_17.jpg,broken_light
data/images\broken_light\Image_18.jpg,broken_light
data/images\broken_light\Image_19.jpg,broken_light
data/images\broken_light\Image_2.jpg,broken_light
data/images\broken_light\Image_20.jpg,broken_light
data/images\broken_light\Image_21.jpg,broken_light
data/images\broken_light\Image_22.jpg,broken_light
data/images\broken_light\Image_23.jpg,broken_light
data/images\broken_light\Image_24.jpg,broken_light
data/images\broken_light\Image_25.jpg,broken_light
data/images\broken_light\Image_26.jpg,broken_light
data/images\broken_light\Image_27.jpeg,broken_light
data/images\broken_light\Image_28.jpg,broken_light
data/images\broken_light\Image_29.jpg,broken_light
data/images\broken_light\Image_3.jpg,broken_light
data/images\broken_light\Image_30.jpg,broken_light
data/images\broken_light\Image_31.jpg,broken_light
data/images\broken_light\Image_32.jpg,broken_light
data/images\broken_light\Image_33.jpg,broken_light
data/images\broken_light\Image_34.jpg,broken_light
data/images\broken_light\Image_35.jpg,broken_light
data/images\broken_light\Image_36.jpg,broken_light
data/images\broken_light\Image_37.jpg,broken_light
data/images\broken_light\Image_38.jpg,broken_light
data/images\broken_light\Image_39.jpg,broken_light
data/images\broken_light\Image_4.jpg,broken_light
data/images\broken_light\Image_40.jpg,broken_light
data/images\broken_light\Image_41.jpg,broken_light
data/images\broken_light\Image_42.jpg,broken_light
data/images\broken_light\Image_43.jpg,broken_light
data/images\broken_light\Image_44.jpg,broken_light
data/images\broken_light\Image_45.jpg,broken_light
data/images\broken_light\Image_46.jpg,broken_light
data/images\broken_light\Image_47.jpg,broken_light
data/images\broken_light\Image_48.jpg,broken_light
data/images\broken_light\Image_49.jpg,broken_light
data/images\broken_light\Image_5.jpg,broken_light
data/images\broken_light\Image_50.jpg,broken_light
data/images\broken_light\Image_51.jpg,broken_light
data/images\broken_light\Image_52.jpg,broken_light
data/images\broken_light\Image_53.jpg,broken_light
data/images\broken_light\Image_54.jpg,broken_light
data/images\broken_light\Image_55.jpg,broken_light
data/images\broken_light\Image_56.jpg,broken_light
data/images\broken_light\Image_57.jpg,broken_light
data/images\broken_light\Image_58.jpg,broken_light
data/images\broken_light\Image_59.jpg,broken_light
data/images\broken_light\Image_6.jpg,broken_light
data/images\broken_light\Image_60.jpg,broken_light
data/images\broken_light\Image_61.jpg,broken_light
data/images\broken_light\Image_62.jpg,broken_light
data/images\broken_light\Image_63.jpg,broken_light
data/images\broken_light\Image_64.jpg,broken_light
data/images\broken_light\Image_65.jpg,broken_light
data/images\broken_light\Image_66.jpg,broken_light
data/images\broken_light\Image_67.jpg,broken_light
data/images\broken_light\Image_68.jpg,broken_light
data/images\broken_light\Image_69.jpg,broken_light
data/images\broken_light\Image_7.jpg,broken_light
data/images\broken_light\Image_70.jpg,broken_light
data/images\broken_light\Image_71.jpg,broken_light
data/images\broken_light\Image_72.jpg,broken_light
data/images\broken_light\Image_73.jpg,broken_light
data/images\broken_light\Image_74.jpg,broken_light
data/images\broken_light\Image_75.jpg,broken_light
data/images\broken_light\Image_76.jpg,broken_light
data/images\broken_light\Image_77.jpg,broken_light
data/images\broken_light\Image_78.jpg,broken_light
data/images\broken_light\Image_79.jpg,broken_light
data/images\broken_light\Image_8.jpg,broken_light
data/images\broken_light\Image_80.jpg,broken_light
data/images\broken_light\Image_81.jpg,broken_light
data/images\broken_light\Image_82.jpg,broken_light
data/images\broken_light\Image_83.jpg,broken_light
data/images\broken_light\Image_84.jpg,broken_light
data/images\broken_light\Image_85.jpg,broken_light
data/images\broken_light\Image_86.jpg,broken_light
data/images\broken_light\Image_87.jpg,broken_light
data/images\broken_light\Image_88.jpg,broken_light
data/images\broken_light\Image_89.jpg,broken_light
data/images\broken_light\Image_9.jpg,broken_light
data/images\broken_light\Image_90.jpg,broken_light
data/images\broken_light\Image_91.jpg,broken_light
data/images\broken_light\Image_92.jpg,broken_light
data/images\broken_light\Image_93.jpeg,broken_light
data/images\broken_light\Image_94.jpg,broken_light
data/images\broken_light\Image_95.jpg,broken_light
data/images\broken_light\Image_96.jpg,broken_light
data/images\broken_light\Image_97.jpg,broken_light
